질문,답변
수거배달 서비스를 하나요?,매장에 따라 다릅니다. 홈페이지 '매장찾기'에서 해당 매장의 수거배달 서비스 여부를 확인할 수 있습니다.
세탁물은 며칠 이내에 찾아가야 하나요?,크린토피아의 기본 세탁 소요 기간은 3박 4일입니다.
"급자, 특급, 초특급 서비스란 무엇인가요?","- 급자: 2박 3일 내 완료, 200원 추가
- 특급: 다음날 저녁까지 완료, 500원 추가
- 초특급: 당일 완료, 요금의 50% 추가"
스마트 무인세탁함은 어떻게 이용하나요?,"365일 24시간 이용 가능하며, 카드 결제가 가능합니다. 홈페이지에서 설치된 매장을 확인할 수 있습니다."
기본 세탁 가격은 얼마인가요?,"의류 종류에 따라 다르지만, 일반적으로 5,000원에서 20,000원 사이입니다."
셔츠 세탁 가격은 얼마인가요?,"일반적으로 2,500원입니다."
특수 세탁 서비스의 가격은 어떻게 되나요?,"가죽이나 울 제품의 경우 15,000원에서 50,000원까지 다양합니다."
세탁물 보관 서비스가 있나요?,"네, 제공됩니다. 보관 기간에 따라 추가 비용이 발생할 수 있습니다."
크린토피아의 세탁 서비스 이용 시간은?,"보통 오전 9시부터 오후 8시까지이나, 지점에 따라 다를 수 있습니다."
온라인 예약은 어떻게 하나요?,크린토피아 공식 웹사이트를 통해 원하는 날짜와 시간을 선택하여 예약할 수 있습니다.
드라이클리닝과 물세탁 중 어떤 것이 좋나요?,의류의 소재와 상태에 따라 다릅니다. 매장에서 상담 후 결정하는 것이 좋습니다.
셀프 세탁이 가능한 매장이 있나요?,"네, 일부 매장에서는 셀프 빨래방 서비스를 제공합니다. 홈페이지에서 셀프 빨래방 매장을 검색할 수 있습니다."
세탁물이 분실되면 어떻게 되나요?,"세탁물 분실 시 매장 직원과 바로 상담해 주세요. 크린토피아는 고객의 세탁물을 안전하게 관리하기 위해 최선을 다하고 있으며, 문제 발생 시 보상 정책에 따라 처리됩니다."
세탁 전 의류의 손상 여부를 확인하나요?,"네, 모든 의류는 세탁 전 점검을 거칩니다. 손상된 부분이 발견되면 고객과 사전 협의 후 세탁 여부를 결정합니다."
특정 얼룩 제거가 가능한가요?,"대부분의 얼룩은 제거 가능하지만, 얼룩의 종류와 의류 소재에 따라 제거 여부가 다를 수 있습니다. 매장에서 상담 후 적합한 처리 방법을 추천받으세요."
대량 세탁 서비스가 가능한가요?,"네, 이불, 커튼, 호텔 린넨 등의 대량 세탁 서비스도 제공합니다. 대량 세탁은 추가 요금이 발생할 수 있으며, 매장에 사전 문의해 주세요."
세탁 후 옷이 손상되면 어떻게 되나요?,세탁으로 인한 손상은 매장의 책임 하에 보상 절차를 진행합니다. 의류의 손상 상태를 평가한 후 고객과 협의하여 적절한 보상 방안을 제공합니다.
청소 용품 대여 서비스가 있나요?,"일부 크린토피아 매장에서는 카펫 청소기, 스팀 클리너 등의 대여 서비스를 제공합니다. 대여 가능 여부는 해당 매장에 문의하시기 바랍니다."
정기 구독 서비스가 있나요?,"네, 크린토피아는 정기 세탁 구독 서비스를 제공하며, 구독자는 일정 할인 혜택과 우선 처리 서비스를 받을 수 있습니다. 자세한 내용은 홈페이지에서 확인하세요."
친환경 세탁제를 사용하나요?,"네, 크린토피아는 환경 보호를 위해 친환경 세탁제를 사용하는 매장을 운영 중입니다. 해당 서비스 여부는 매장에 따라 다를 수 있으니 사전 확인해 주세요."
세탁물을 포장하지 않고 받을 수 있나요?,"네, 요청 시 비닐 포장을 최소화하거나 포장하지 않고 제공할 수 있습니다. 환경 보호를 위한 고객님의 참여를 환영합니다."
할인 이벤트가 있나요?,"시즌별, 지역별로 다양한 할인 이벤트가 진행됩니다. 최신 이벤트는 크린토피아 공식 홈페이지나 모바일 앱에서 확인하실 수 있습니다."
교환권이나 쿠폰을 사용할 수 있나요?,"네, 크린토피아에서 발행된 교환권과 쿠폰은 사용 가능합니다. 유효기간과 사용 조건을 확인 후 사용해 주세요."
유아용 의류도 세탁이 가능한가요?,"네, 유아용 의류 및 침구도 세탁 가능합니다. 유아 제품은 민감한 소재가 많으니 매장에서 상담 후 적합한 세탁 방법을 안내받으세요."
세탁이 불가능한 품목이 있나요?,"네, 불에 약한 플라스틱 재질, 손상이 쉬운 섬세한 장식물 등이 포함된 의류는 세탁이 어려울 수 있습니다. 매장에서 상담 후 가능 여부를 확인하세요."
여행 가방이나 캐리어 세탁도 가능한가요?,"네, 일부 매장에서는 여행 가방 세탁 및 소독 서비스를 제공합니다. 매장에 따라 서비스 가능 여부와 비용이 다를 수 있으니 사전에 문의하세요."
세탁을 해서 보관했는데 곰팡이가 생길 수 있나요?,"세탁물의 곰팡이는 습도와 보관상태에 따라 달라질 수 있습니다. 세탁 후 비닐을 제거하고 보관하며, 보관 장소의 습기를 제거하는 것이 중요합니다."
"옷에 오염이 묻었는데, 세탁을 맡기면 오염이 깨끗이 제거되나요?","오염원의 종류, 고착상태, 의류 소재, 경과 시간 등에 따라 처리 결과가 달라질 수 있습니다. 일반 세탁으로 제거되지 않는 경우 특수오염제거크리닝을 의뢰해야 합니다."
드라이크리닝과 물세탁 중 어떤 세탁방법이 더 좋은가요?,"세탁방법은 섬유의 종류, 가공상태, 오염에 따라 선택해야 합니다. '깨끗한 세탁' 기준으로는 물세탁이 효과적이지만, 의류 소재나 가공법에 따라 물세탁이 불가능한 경우 드라이크리닝을 해야 합니다."
"세탁 후, 세탁물에 문제가 있을 경우 어떻게 해야 하나요?","1. 이용한 가맹점에 문제 세탁물 접수
2. 지역별 고객센터에서 재손질 또는 A/S 진행
3. 재세탁/오염제거: 2-3일 소요
4. 제조회사 A/S: 2주 소요
5. 불만족 시 소비자단체 심의 의뢰 가능
6. 세탁상 과실: 소비자분쟁해결기준에 따른 보상
7. 제조업체 과실: 교환/환불 요구 가능
8. 고객 사용상 과실: 보상 불가"
"세탁 후, 장식(단추, 지퍼 등)이 파손되었을 경우, A/S는 어디서 하나요?","1. 해당 세탁물을 매장에 재접수
2. 제조회사에 A/S 의뢰 (2주 소요)
3. 제조처 없거나 A/S 불가 시 크린토피아 고객센터 수선실에서 진행"
나중에 확인해 보니 세탁물에 문제가 있습니다. 문제가 있는 세탁물은 언제까지 A/S나 보상이 가능한가요?,세탁물 인도 후 6개월 이내에 A/S 또는 보상 가능 (소비자분쟁해결기준 기준)
드라이크리닝을 맡겼는데 오염이 거의 제거되지 않았어요?,"1. 드라이크리닝은 수축, 변형 예방 목적
2. 석유계 용제 사용으로 지용성 오염 제거에 효과적
3. 수용성 오염(땀, 음식물 등)은 잘 제거되지 않을 수 있음
4. 접수 시 오염 부위와 성분을 상세히 설명 필요"
로열크리닝이 일반세탁과 다른 점은 무엇인가요?,"로얄세탁은 고가의 의류나 명품 등 고객이 특별히 아끼는 의류에 대해 차별화된 세탁 품질을 제공해드리는 서비스입니다. 단독 세탁의 개념은 아니며, 세탁 시 세탁물을 망에 넣어 구분 세탁하고, 특히 다림질을 꼼꼼히 진행합니다. 포장지 또한 통풍이 잘되고 고급스러운 흰색 부직포로 포장되어 출고됩니다."
로열크리닝 요금은 얼마입니까?,"일반 세탁 요금의 2배이며, 셔츠(일반), 셔츠(드라이)는 3,000원 입니다."
운동화도 드라이크리닝을 하나요?,"운동화는 드라이 용제에 의해 접착제로 접합시킨 창과 피가 분리되므로 드라이클리닝이 불가능 합니다. 또한, 세무나 가죽의 경우 제조사에서 세탁을 하지 않도록 표기되어 있는 경우가 있습니다. 이런 경우 오염제거를 위해 세탁을 하실 경우, 물세탁을 진행하게 되며, 운동화 소재의 특성상 탈색, 수축, 거칠어짐, 이염 등이 발생하는 경우가 있습니다."
눈에 젖은 뒤 어그 부츠 가죽이 굳어 버렸는데 복원이 되나요?,"제설 작업에 사용된 염화칼슘이 천연가죽을 굳게 한 것입니다. 색상은 복원이 어려우며, 외형은 천연어그 복원서비스를 의뢰하시면 70~80% 이상 복원이 가능합니다. 하지만, 굳어진 후 오래된 제품과 파손이 있는 제품은 복원이 되지 않습니다."
