번호,질문,예상 답변
1,드라이클리닝 비용은 얼마인가요?,"의류 종류에 따라 다릅니다. 기본 셔츠는 5,000원부터 시작합니다."
3,당일 서비스가 가능한가요?,"네, 오전 중에 맡기시면 당일 오후에 찾으실 수 있습니다."
4,배달 서비스가 있나요?,"네, 지역에 따라 배달 가능합니다. 추가 요금이 있습니다."
5,카드 결제도 되나요?,"네, 카드 결제 가능합니다."
6,이 옷은 드라이클리닝이 필요한가요?,소재를 확인 후 판단해 드릴 수 있습니다.
7,얼룩 제거가 가능한가요?,얼룩 종류에 따라 다르지만 대부분 가능합니다.
8,화이트 셔츠의 목 때 제거가 가능한가요?,"네, 특수 처리제로 제거 가능합니다."
9,세탁 후 줄어들 염려가 있을까요?,의류 라벨에 따라 세탁 방법을 권장하여 줄어드는 걸 방지합니다.
10,이 옷에 방수 처리가 가능한가요?,"네, 추가 비용으로 방수 처리 가능합니다."
11,가죽 재킷도 세탁하나요?,"네, 가죽 전문 세탁이 가능합니다."
12,스웨이드 신발도 세탁되나요?,"네, 스웨이드 전용 세탁 서비스가 있습니다."
13,모피 코트도 세탁이 되나요?,"네, 모피 전문 세탁 가능합니다."
14,웨딩드레스는 어떻게 관리되나요?,웨딩드레스는 손세탁 후 보관처리까지 가능합니다.
15,니트 세탁 후 보풀이 방지되나요?,"네, 손세탁과 보풀 제거 작업을 진행합니다."
16,와인 얼룩도 지워지나요?,가능성이 높습니다. 빠르게 맡기시는 것이 중요합니다.
17,커피 얼룩 제거가 어려울까요?,"네, 하지만 대부분 제거 가능합니다."
18,볼펜 자국도 지울 수 있나요?,"네, 특수 약품으로 제거합니다."
19,립스틱 자국이 없어질까요?,"네, 제거 가능하며 흔적도 남지 않습니다."
20,기름 얼룩도 제거 가능한가요?,"네, 대부분 해결할 수 있습니다."
21,특정 향료를 사용하지 말아주세요.,"네, 고객님 요청에 따라 처리하겠습니다."
22,옷걸이 없이 접어서 받을 수 있나요?,"네, 가능합니다."
23,주름이 안 생기게 다림질이 가능한가요?,"네, 전문 다림질을 제공합니다."
24,세탁 후 얼룩이 남으면 어떻게 되나요?,재세탁 서비스를 제공합니다.
25,옷을 최대한 부드럽게 만들어 줄 수 있나요?,"네, 섬유 유연제를 추가로 사용할 수 있습니다."
26,정장 바지의 주름은 어떻게 관리되나요?,다림질로 선명한 주름을 유지합니다.
27,실크 드레스 세탁이 가능한가요?,"네, 실크 전용 세탁으로 처리합니다."
28,캐시미어 코트는 세탁 후 모양이 유지되나요?,"네, 모양을 유지하는 방법으로 관리합니다."
29,양복 재킷을 드라이클리닝 후 어떻게 보관해야 하나요?,통풍이 잘 되는 곳에 걸어두시면 좋습니다.
30,넥타이도 세탁되나요?,"네, 넥타이 전용 세탁 서비스가 있습니다."
31,이불 세탁도 가능한가요?,"네, 이불 및 베개 세탁 가능합니다."
32,카페트 세탁이 가능한가요?,"네, 카페트 전문 세탁이 가능합니다."
33,커튼 세탁은 어떻게 하나요?,분리 및 세탁 후 주름 없이 처리해 드립니다.
34,아기 옷 세탁은 안전한가요?,"네, 무독성 세제를 사용합니다."
35,방석 세탁도 되나요?,"네, 가능합니다."
36,세탁 중 옷이 손상되면 어떻게 되나요?,손상 시 보상 정책을 안내드립니다.
37,얼룩이 제거되지 않으면 환불되나요?,얼룩 제거 실패 시 재세탁 서비스를 제공합니다.
38,드라이클리닝 후 냄새가 남아 있다면 어떻게 하나요?,무료 재처리를 해드립니다.
39,옷이 잃어버려지면 어떻게 되나요?,보상 기준에 따라 보상해 드립니다.
40,세탁 후 색이 변하면 어떻게 되나요?,재처리 또는 보상 절차를 진행합니다.
41,특정 요일에 할인 행사가 있나요?,"네, 매주 수요일 10% 할인을 제공합니다."
42,정기 고객에게는 혜택이 있나요?,"네, 정기 고객 할인 및 쿠폰이 있습니다."
43,친환경 세제를 사용하나요?,"네, 요청 시 친환경 세제를 사용할 수 있습니다."
44,학생 할인이 있나요?,"네, 학생증 제시 시 할인됩니다."
45,다량 세탁 시 할인이 되나요?,"네, 대량 주문 시 할인됩니다."
46,스포츠웨어 세탁이 가능한가요?,"네, 운동복은 소재에 따라 별도 세탁 처리를 진행합니다."
47,속옷도 세탁 가능한가요?,가능하지만 위생상 개인 의류는 별도로 포장해 주셔야 합니다.
48,다운 패딩은 드라이클리닝 해야 하나요?,일반적으로 권장됩니다. 하지만 세탁 라벨을 확인 후 적절한 방법을 사용합니다.
49,세탁물이 몇 시까지 준비되나요?,오전 중에 맡기시면 오후 5시 이후로 준비됩니다.
50,세탁물이 준비되었는지 문자로 알려주실 수 있나요?,"네, 요청하시면 문자나 알림 서비스를 제공해 드립니다."
51,실크 스카프도 세탁이 되나요?,"네, 손상 없이 실크 전용 세제를 사용해 세탁 가능합니다."
52,세탁할 옷의 개수가 많은데 추가 요금이 있나요?,"네, 기본 요금이 적용되며 대량 할인 혜택이 제공됩니다."
53,스팀 청소도 가능한가요?,"네, 요청 시 스팀 다림질 또는 스팀 세탁 처리가 가능합니다."
54,울 코트 세탁 시 주의사항은 무엇인가요?,"울 전용 세제를 사용하며, 줄어들지 않게 저온 건조로 관리합니다."
55,신발 세탁은 어떻게 진행되나요?,"신발 전용 클리닝으로 소재에 맞게 처리하며, 건조까지 완료해 드립니다."
56,세탁물 보관 기간은 얼마나 되나요?,"기본적으로 7일이며, 장기 보관 시 추가 요금이 발생할 수 있습니다."
57,고무줄이 있는 옷은 어떻게 세탁하시나요?,고무줄이 손상되지 않도록 저온으로 세탁 및 건조합니다.
58,프린팅이 있는 옷은 세탁 시 어떻게 처리되나요?,프린트 손상을 방지하기 위해 뒤집어서 세탁 및 건조를 진행합니다.
59,이염 방지 처리가 가능하나요?,"네, 이염 방지제를 사용하여 안전하게 세탁합니다."
60,빨리 말려야 하는 옷은 어떻게 처리되나요?,건조기 또는 급속 건조기를 사용해 빠르게 건조해 드립니다.
61,담배 냄새가 심한 옷도 깨끗하게 세탁되나요?,"네, 냄새 제거제와 전문 세탁으로 해결 가능합니다."
62,이 옷에 구멍이 있는데 수선도 해주시나요?,"네, 세탁 후 수선 서비스를 추가로 제공합니다."
63,담요나 매트도 세탁되나요?,"네, 대형 세탁기로 처리 가능합니다."
64,옷에 정전기 방지 처리를 해줄 수 있나요?,"네, 섬유 유연제를 사용하여 정전기를 줄일 수 있습니다."
65,색이 바랜 청바지는 복구가 가능한가요?,"염색 서비스는 제공하지 않지만, 색 보존 처리를 도와드립니다."
66,모자도 세탁할 수 있나요?,"네, 모양 손상을 방지하면서 세탁 가능합니다."
67,오리털 패딩이 뭉치지 않게 세탁 가능한가요?,"네, 특수 공정으로 뭉침 없이 세탁과 건조가 가능합니다."
68,옷의 태그를 제거하지 않고 세탁할 수 있나요?,"네, 태그를 그대로 둔 채로 세탁이 가능합니다."
69,물 세탁과 드라이클리닝의 차이는 무엇인가요?,"물 세탁은 물과 세제를 사용하며, 드라이클리닝은 용제를 사용하여 섬세하게 관리합니다."
70,계절별 보관 서비스도 있나요?,"네, 겨울철 옷 보관 서비스 등을 제공하고 있습니다."
71,새로 산 옷은 바로 세탁해야 하나요?,"네, 화학 처리가 된 새 옷은 한 번 세탁 후 착용을 권장합니다."
72,운동화는 몇 시간 정도 걸리나요?,평균적으로 2~3일 소요됩니다.
73,털이 많은 옷은 어떻게 세탁하나요?,털 손상을 방지하기 위해 저온 세탁 및 건조 처리를 진행합니다.
74,손 세탁이 가능한 의류는 맡길 필요가 없나요?,전문 세탁으로 손상 없이 더 효율적으로 관리 가능합니다.
75,유리 섬유가 포함된 옷도 세탁되나요?,"네, 세심한 관리로 세탁 가능합니다."
76,이 옷은 고온 세탁이 가능한가요?,의류 라벨을 확인한 뒤 적절한 온도로 세탁해 드립니다.
77,유니폼 세탁 서비스도 제공하나요?,"네, 단체 유니폼 세탁 및 정리 서비스를 제공합니다."
78,면 소재의 옷은 줄어들 가능성이 있나요?,고온 세탁 시 줄어들 가능성이 있으므로 적절한 온도로 처리합니다.
79,단추가 떨어진 옷은 세탁 전에 고쳐주실 수 있나요?,"네, 요청 시 단추 수선 후 세탁 진행이 가능합니다."
80,우산이나 방수 커버도 세탁되나요?,"네, 방수 소재 세탁도 가능합니다."
81,세탁 시 섬유 향을 선택할 수 있나요?,"네, 원하는 향을 요청하시면 반영해 드립니다."
82,애완동물 옷도 세탁 가능한가요?,"네, 애완동물 의류 세탁 서비스를 제공합니다."
83,비싼 의류는 별도로 관리되나요?,"네, 고가 의류는 별도 관리 프로그램으로 처리됩니다."
84,천연 소재의 옷은 드라이클리닝 해야 하나요?,"대부분 권장되며, 소재에 맞는 세탁법으로 처리합니다."
85,교복 세탁 시 특별 관리가 필요한가요?,"네, 주름과 소재를 유지하면서 관리합니다."
86,세탁 후 옷이 빳빳한데 부드럽게 만들 수 있나요?,"네, 섬유 유연제를 추가 사용하여 부드럽게 만들어 드립니다."
87,의류 손상이 발생하지 않도록 어떻게 관리하나요?,세탁 전 철저히 검수하고 적절한 세탁 방법을 사용합니다.
88,여행용 가방도 세탁 가능한가요?,"네, 내부와 외부 모두 세탁이 가능합니다."
89,흰 옷의 황변은 제거할 수 있나요?,"네, 전용 세제로 처리해 드립니다."
90,스티커 자국이 남아 있는 옷도 세탁이 되나요?,"네, 접착제를 안전하게 제거 후 세탁 가능합니다."
91,이불 속 솜이 뭉친 것은 해결이 되나요?,"네, 솜 분리 및 재정리 후 세탁 가능합니다."
92,실크 커튼은 어떻게 세탁하나요?,손세탁 또는 드라이클리닝으로 관리합니다.
93,특별히 민감한 의류도 세탁 가능한가요?,"네, 민감한 의류는 전문가가 직접 관리합니다."
94,흙탕물이 묻은 옷도 세탁이 되나요?,"네, 사전 처리를 통해 깨끗하게 세탁됩니다."
95,물에 젖은 채로 가져가도 문제 없나요?,"네, 신속히 건조 및 세탁 과정을 진행합니다."
96,아웃도어 의류는 방수 기능이 유지되나요?,"네, 방수 복원 처리를 함께 진행합니다."
97,수거배달 서비스를 하나요?,매장에 따라 다릅니다. 홈페이지 '매장찾기'에서 해당 매장의 수거배달 서비스 여부를 확인할 수 있습니다.
98,세탁물은 며칠 이내에 찾아가야 하나요?,크린토피아의 기본 세탁 소요 기간은 3박 4일입니다.
99,"급자, 특급, 초특급 서비스란 무엇인가요?","- 급자: 2박 3일 내 완료, 200원 추가
- 특급: 다음날 저녁까지 완료, 500원 추가
- 초특급: 당일 완료, 요금의 50% 추가"
100,스마트 무인세탁함은 어떻게 이용하나요?,"365일 24시간 이용 가능하며, 카드 결제가 가능합니다. 홈페이지에서 설치된 매장을 확인할 수 있습니다."
101,기본 세탁 가격은 얼마인가요?,"의류 종류에 따라 다르지만, 일반적으로 5,000원에서 20,000원 사이입니다."
102,셔츠 세탁 가격은 얼마인가요?,"일반적으로 2,500원입니다."
103,특수 세탁 서비스의 가격은 어떻게 되나요?,"가죽이나 울 제품의 경우 15,000원에서 50,000원까지 다양합니다."
104,세탁물 보관 서비스가 있나요?,"네, 제공됩니다. 보관 기간에 따라 추가 비용이 발생할 수 있습니다."
106,온라인 예약은 어떻게 하나요?,크린토피아 공식 웹사이트를 통해 원하는 날짜와 시간을 선택하여 예약할 수 있습니다.
107,드라이클리닝과 물세탁 중 어떤 것이 좋나요?,의류의 소재와 상태에 따라 다릅니다. 매장에서 상담 후 결정하는 것이 좋습니다.
108,셀프 세탁이 가능한 매장이 있나요?,"네, 일부 매장에서는 셀프 빨래방 서비스를 제공합니다. 홈페이지에서 셀프 빨래방 매장을 검색할 수 있습니다."
109,세탁물이 분실되면 어떻게 되나요?,"세탁물 분실 시 매장 직원과 바로 상담해 주세요. 크린토피아는 고객의 세탁물을 안전하게 관리하기 위해 최선을 다하고 있으며, 문제 발생 시 보상 정책에 따라 처리됩니다."
110,세탁 전 의류의 손상 여부를 확인하나요?,"네, 모든 의류는 세탁 전 점검을 거칩니다. 손상된 부분이 발견되면 고객과 사전 협의 후 세탁 여부를 결정합니다."
111,특정 얼룩 제거가 가능한가요?,"대부분의 얼룩은 제거 가능하지만, 얼룩의 종류와 의류 소재에 따라 제거 여부가 다를 수 있습니다. 매장에서 상담 후 적합한 처리 방법을 추천받으세요."
112,대량 세탁 서비스가 가능한가요?,"네, 이불, 커튼, 호텔 린넨 등의 대량 세탁 서비스도 제공합니다. 대량 세탁은 추가 요금이 발생할 수 있으며, 매장에 사전 문의해 주세요."
113,세탁 후 옷이 손상되면 어떻게 되나요?,세탁으로 인한 손상은 매장의 책임 하에 보상 절차를 진행합니다. 의류의 손상 상태를 평가한 후 고객과 협의하여 적절한 보상 방안을 제공합니다.
114,청소 용품 대여 서비스가 있나요?,"일부 크린토피아 매장에서는 카펫 청소기, 스팀 클리너 등의 대여 서비스를 제공합니다. 대여 가능 여부는 해당 매장에 문의하시기 바랍니다."
115,정기 구독 서비스가 있나요?,"네, 크린토피아는 정기 세탁 구독 서비스를 제공하며, 구독자는 일정 할인 혜택과 우선 처리 서비스를 받을 수 있습니다. 자세한 내용은 홈페이지에서 확인하세요."
